sequenceId,itemPosition,Whale,Coda,Ornamentation,Synchrony,Duration,TimeDelta
0,0,1,8,0,0,0.21665,0.0
0,1,1,8,0,0,0.209,0.21665000000000134
0,2,1,1,0,0,0.116825,0.20899999999998897
0,3,1,1,1,0,0.205725,0.11682500000000573
0,4,1,8,0,0,0.2234833999999999,1.7447915999999992
0,5,1,8,0,0,0.2112166999999999,0.22348340000002054
0,6,1,3,0,0,0.14025,0.21121669999999426
0,7,1,1,0,0,0.13425,0.14025000000000887
0,8,1,1,1,0,0.1990083,0.13424999999998022
0,9,1,5,0,0,0.89825,2.6799833000000035
0,10,1,5,0,0,0.865575,3.8401000000000067
0,11,1,5,0,0,0.8583166,3.9339999999999975
0,12,1,5,0,0,0.8619416,3.266399999999976
0,13,1,1,0,0,0.50535,3.069000000000017
0,14,1,0,0,0,0.3334749999999999,0.5053499999999929
0,15,1,5,0,1,0.8447332999999999,3.0331500000000062
0,16,2,3,0,1,0.8711697,0.05819999999999936
0,17,2,3,0,1,0.9260951,3.3547000000000082
0,18,1,5,1,1,0.8275417,0.13970000000000482
0,19,2,3,0,1,0.946011,3.06989999999999
0,20,1,5,0,1,0.8468334000000001,0.18090000000000828
0,21,2,3,0,0,1.0306499999999998,4.745399999999989
0,22,2,3,0,1,1.0820167,4.9325000000000045
0,23,1,5,0,0,1.0484083,0.3341000000000065
0,24,1,5,0,1,0.9956333,4.133099999999985
0,25,2,3,0,1,1.07565,0.2370999999999981
0,26,2,3,0,1,1.020525,4.123199999999997
0,27,1,5,0,1,0.9803084,0.10080000000002087
0,28,2,3,0,1,0.9992167,3.6233999999999753
0,29,1,5,1,1,0.9525416,0.23840000000001282
0,30,2,3,0,0,0.9997651,3.574099999999987
0,31,2,3,0,1,1.0187389,3.5859000000000094
0,32,1,5,0,1,1.0598584,0.772199999999998
0,33,2,3,0,1,1.0307395,3.5338000000000136
0,34,1,5,0,1,1.0668667,0.7165999999999997
0,35,2,3,0,1,1.0595726,3.6441999999999837
0,36,1,5,0,1,1.0691167,0.7543000000000006
0,37,2,3,1,1,1.0062386,3.6140000000000043
0,38,1,4,0,1,0.6526,0.45334170000000995
0,39,2,3,0,1,0.969535,3.2383582999999874
0,40,1,5,0,1,0.9752834,0.03630000000001132
0,41,2,3,0,0,1.0017667,3.7401999999999873
0,42,2,3,0,0,0.9509917,3.8597000000000037
0,43,2,3,1,1,0.941825,3.421500000000009
0,44,1,8,0,0,0.246575,2.5496167000000014
0,45,1,8,0,0,0.2329166,0.24657499999997867
0,46,1,3,0,0,0.164125,0.23291660000001002
0,47,1,1,0,0,0.166275,0.16412500000001273
0,48,1,1,0,0,0.3122084,0.16627499999998463
0,49,1,11,0,1,0.2402834,2.9211917000000085
0,50,2,3,0,1,0.9316936,0.17650000000000432
0,51,1,8,0,1,0.20845,0.06378340000000549
0,52,1,3,0,0,0.1228083,0.20844999999999914
0,53,1,1,0,0,0.1246833,0.12280830000000265
0,54,1,1,1,0,0.2578417,0.12468329999998673
0,55,2,3,0,1,0.9013667,25.764174999999994
0,56,1,8,0,1,0.2449228,6.099099999999993
0,57,2,3,0,1,0.9535955,0.003100000000017644
0,58,1,8,0,1,0.2249583,0.24182279999999423
0,59,1,1,0,0,0.1114917,0.22495829999999728
0,60,1,1,0,0,0.189975,0.11149170000001618
0,61,1,1,0,1,0.3385333,0.18997499999997558
0,62,2,3,0,1,0.9049469,2.8010521999999867
0,63,1,8,0,1,0.2399582999999999,0.0735000000000241
0,64,1,8,0,0,0.2079417,0.23995830000001206
0,65,1,1,0,0,0.1052417,0.20794169999999212
0,66,1,1,0,0,0.1874083,0.10524170000002186
0,67,1,1,1,0,0.3121,0.18740829999995867
0,68,1,16,0,1,0.3992334,2.202775000000031
0,69,2,3,0,1,0.8943574999999999,0.37327499999997826
0,70,1,3,0,1,0.1494832999999999,0.025958399999979065
0,71,1,1,0,0,0.1318582999999999,0.14948330000004262
0,72,1,1,1,0,0.200475,0.13185829999997623
0,73,1,8,0,0,0.214725,2.810200000000009
0,74,1,8,0,1,0.2213165999999999,0.21472499999998718
0,75,2,3,0,1,0.8955485000000001,0.1214750000000322
0,76,1,3,0,1,0.1683666999999999,0.09984159999999065
0,77,1,1,1,0,0.202825,0.16836669999997866
0,78,1,3,0,0,0.1235417,2.9626916999999935
0,79,1,3,0,0,0.1437833,0.12354169999997566
0,80,1,3,0,0,0.1343334,0.14378330000005235
0,81,1,3,0,0,0.14615,0.13433339999994587
0,82,1,1,0,0,0.1170249999999999,0.1461500000000342
0,83,1,1,1,0,0.1966916,0.11702500000001237
0,84,1,8,0,0,0.219675,3.08946659999998
0,85,1,8,0,0,0.2059416999999999,0.21967499999999518
0,86,1,3,0,0,0.15025,0.20594169999998257
0,87,1,1,0,0,0.1222332999999999,0.1502500000000282
0,88,1,1,1,0,0.185475,0.12223330000000487
